Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0112","Maïs","2016","2016","kg/ha","1824.8","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0112","Maïs","2017","2017","kg/ha","1771.4","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0112","Maïs","2018","2018","kg/ha","1935.8","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0112","Maïs","2019","2019","kg/ha","2053.9","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0112","Maïs","2020","2020","kg/ha","2654.9","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0118","Mils","2000","2000","kg/ha","712.7","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0118","Mils","2001","2001","kg/ha","694.9","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0118","Mils","2002","2002","kg/ha","506.1","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0118","Mils","2003","2003","kg/ha","732.9","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0118","Mils","2004","2004","kg/ha","471.3","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0118","Mils","2005","2005","kg/ha","760","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0118","Mils","2006","2006","kg/ha","660.6","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0118","Mils","2007","2007","kg/ha","464.2","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0118","Mils","2008","2008","kg/ha","767.5","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0118","Mils","2009","2009","kg/ha","770.3","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0118","Mils","2010","2010","kg/ha","787.2","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0118","Mils","2011","2011","kg/ha","616.5","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0118","Mils","2012","2012","kg/ha","810.6","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0118","Mils","2013","2013","kg/ha","683.3","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0118","Mils","2014","2014","kg/ha","571.2","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0118","Mils","2015","2015","kg/ha","813.3","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0118","Mils","2016","2016","kg/ha","747","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0118","Mils","2017","2017","kg/ha","930.5","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0118","Mils","2018","2018","kg/ha","965","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0118","Mils","2019","2019","kg/ha","916.7","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0118","Mils","2020","2020","kg/ha","1119","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0113","Riz","2000","2000","kg/ha","2345.4","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0113","Riz","2001","2001","kg/ha","2372.9","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0113","Riz","2002","2002","kg/ha","2267.6","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0113","Riz","2003","2003","kg/ha","2639.7","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0113","Riz","2004","2004","kg/ha","2475.8","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0113","Riz","2005","2005","kg/ha","2854.2","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0113","Riz","2006","2006","kg/ha","2240.1","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0113","Riz","2007","2007","kg/ha","2407.8","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0113","Riz","2008","2008","kg/ha","3257.2","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0113","Riz","2009","2009","kg/ha","3602.2","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0113","Riz","2010","2010","kg/ha","4103.3","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0113","Riz","2011","2011","kg/ha","3717.1","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0113","Riz","2012","2012","kg/ha","3989.2","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0113","Riz","2013","2013","kg/ha","4018.1","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0113","Riz","2014","2014","kg/ha","4141.7","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0113","Riz","2015","2015","kg/ha","3819.4","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0113","Riz","2016","2016","kg/ha","3353.7","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0113","Riz","2017","2017","kg/ha","3305.5","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0113","Riz","2018","2018","kg/ha","3728.2","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0113","Riz","2019","2019","kg/ha","3344.2","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0113","Riz","2020","2020","kg/ha","3343.2","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0114","Sorgho","2000","2000","kg/ha","869.1","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0114","Sorgho","2001","2001","kg/ha","856.5","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0114","Sorgho","2002","2002","kg/ha","585.4","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0114","Sorgho","2003","2003","kg/ha","910.8","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0114","Sorgho","2004","2004","kg/ha","775.4","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0114","Sorgho","2005","2005","kg/ha","965.2","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0114","Sorgho","2006","2006","kg/ha","760.7","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0114","Sorgho","2007","2007","kg/ha","645.9","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0114","Sorgho","2008","2008","kg/ha","1008.9","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0114","Sorgho","2009","2009","kg/ha","935.7","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0114","Sorgho","2010","2010","kg/ha","933.1","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0114","Sorgho","2011","2011","kg/ha","638.9","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0114","Sorgho","2012","2012","kg/ha","960.2","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0114","Sorgho","2013","2013","kg/ha","845.8","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0114","Sorgho","2014","2014","kg/ha","818.2","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0114","Sorgho","2015","2015","kg/ha","939","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0114","Sorgho","2016","2016","kg/ha","876.1","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0114","Sorgho","2017","2017","kg/ha","973.6","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0114","Sorgho","2018","2018","kg/ha","1192.9","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0114","Sorgho","2019","2019","kg/ha","1131.2","A","Valeur officielle",""
"QCL","Cultures et produits animaux","686","Sénégal","5412","Rendement","0114","Sorgho","2020","2020","kg/ha","1356.8","A","Valeur officielle",""
